   168;	20200310124230_578;	00003;00186;00186;00023;02789;02478;00496;00897;00629;31563;21001;01719!;	52;	4;	3;	1;	156;
   169;	20200310124230_641;	00003;00186;00186;00023;02789;02478;00496;00897;00629;31563;21001;01719!;	52;	3;	3;	1;	156;
   170;	20200310124230_702;	00003;00186;00186;00023;02789;02478;00496;00897;00629;31563;21001;01719!;	52;	3;	3;	1;	156;
   171;	20200310124230_776;	00003;00186;00186;00023;02789;02478;00496;00897;00629;31563;21001;01719!;	49;	3;	3;	1;	156;
   172;	20200310124230_918;	00003;00186;00186;00023;02789;02478;00496;00897;00629;31563;21001;01719!;	57;	2;	3;	1;	155;
   173;	20200310124231_017;	00003;00186;00186;00023;02789;02478;00496;00897;00629;31563;21001;01719!;	60;	3;	3;	1;	155;
   174;	20200310124231_062;	00003;00186;00186;00023;02789;02478;00496;00897;00629;31563;21001;01719!;	37;	4;	3;	1;	155;
   175;	20200310124231_142;	00003;00186;00186;00023;02790;02963;01183;00859;00560;31505;20856;01654!;	53;	3;	3;	1;	156;
   176;	20200310124231_233;	00003;00186;00186;00023;02790;02963;01183;00859;00560;31505;20856;01654!;	51;	3;	3;	1;	156;
   177;	20200310124231_338;	00003;00186;00186;00023;02790;02963;01183;00859;00560;31505;20856;01654!;	47;	2;	3;	1;	156;
   178;	20200310124231_423;	00003;00186;00186;00023;02790;02963;01183;00859;00560;31505;20856;01654!;	61;	3;	3;	1;	156;
   179;	20200310124231_538;	00003;00186;00186;00023;02790;02963;01183;00859;00560;31505;20856;01654!;	40;	2;	3;	1;	157;
   180;	20200310124231_578;	00003;00186;00186;00023;02790;02963;01183;00859;00560;31505;20856;01654!;	37;	3;	3;	1;	156;
   181;	20200310124231_646;	00003;00186;00186;00023;02784;03194;01002;00712;01008;31446;20805;01628!;	35;	2;	3;	1;	156;
   182;	20200310124231_711;	00003;00186;00186;00023;02784;03194;01002;00712;01008;31446;20805;01628!;	42;	3;	3;	1;	156;
   183;	20200310124231_806;	00003;00186;00186;00023;02784;03194;01002;00712;01008;31446;20805;01628!;	35;	3;	3;	1;	155;
   184;	20200310124231_910;	00003;00186;00186;00023;02784;03194;01002;00712;01008;31446;20805;01628!;	43;	2;	3;	1;	155;
   185;	20200310124231_987;	00003;00186;00186;00023;02784;03194;01002;00712;01008;31446;20805;01628!;	53;	3;	3;	1;	155;
   186;	20200310124232_138;	00003;00186;00186;00023;02784;03194;01002;00712;01008;31446;20805;01628!;	50;	2;	3;	1;	155;
   187;	20200310124232_182;	00003;00186;00186;00023;02784;03194;01002;00712;01008;31446;20805;01628!;	51;	3;	3;	1;	154;
   188;	20200310124232_277;	00003;00186;00186;00023;02786;03190;00972;00697;01006;31473;20813;01634!;	55;	2;	3;	1;	155;
   189;	20200310124232_355;	00003;00186;00186;00023;02786;03190;00972;00697;01006;31473;20813;01634!;	52;	3;	3;	1;	154;
   190;	20200310124232_443;	00003;00186;00186;00023;02786;03190;00972;00697;01006;31473;20813;01634!;	56;	3;	3;	1;	155;
   191;	20200310124232_528;	00003;00186;00186;00023;02786;03190;00972;00697;01006;31473;20813;01634!;	37;	3;	3;	1;	153;
   192;	20200310124232_655;	00003;00186;00186;00023;02786;03190;00972;00697;01006;31473;20813;01634!;	39;	3;	3;	1;	154;
   193;	20200310124232_691;	00003;00186;00186;00023;02786;03190;00972;00697;01006;31473;20813;01634!;	58;	3;	3;	1;	154;
   194;	20200310124232_792;	00003;00186;00186;00023;02785;03146;00933;00672;01012;31499;20822;01643!;	47;	3;	3;	1;	153;
   195;	20200310124232_916;	00003;00186;00186;00023;02785;03146;00933;00672;01012;31499;20822;01643!;	39;	3;	3;	1;	153;
   196;	20200310124233_001;	00003;00186;00186;00023;02785;03146;00933;00672;01012;31499;20822;01643!;	43;	2;	3;	1;	153;
   197;	20200310124233_085;	00003;00186;00186;00023;02785;03146;00933;00672;01012;31499;20822;01643!;	39;	3;	3;	1;	153;
   198;	20200310124233_217;	00003;00186;00186;00023;02785;03146;00933;00672;01012;31499;20822;01643!;	42;	3;	3;	1;	153;
   199;	20200310124233_265;	00003;00186;00186;00023;02785;03146;00933;00672;01012;31499;20822;01643!;	41;	2;	3;	1;	154;
   200;	20200310124233_351;	00003;00186;00186;00023;02791;02713;00985;00687;01006;31536;20876;01668!;	50;	3;	3;	1;	154;
   201;	20200310124233_420;	00003;00186;00186;00023;02791;02713;00985;00687;01006;31536;20876;01668!;	42;	3;	3;	1;	154;
   202;	20200310124233_453;	00003;00186;00186;00023;02791;02713;00985;00687;01006;31536;20876;01668!;	43;	3;	3;	1;	154;
